Year,Month,Revenue_USD,Top_Product,Region,Units_Sold
2022,Jan,21218,Gadget C,South,337
2022,Feb,23762,Gadget A,North,234
2022,Mar,20511,Gadget C,West,299
2022,Apr,16587,Gadget C,South,338
2022,May,20264,Gadget B,West,323
2022,Jun,16562,Gadget A,East,252
2022,Jul,23513,Gadget B,East,290
2022,Aug,17276,Gadget A,West,292
2022,Sep,18286,Gadget D,North,326
2022,Oct,21461,Gadget C,North,321
2022,Nov,28566,Gadget B,West,274
2022,Dec,16744,Gadget A,South,356
2023,Jan,19544,Gadget C,South,258
2023,Feb,22602,Gadget D,South,327
2023,Mar,17337,Gadget B,West,305
2023,Apr,20874,Gadget A,East,311
2023,May,22715,Gadget D,North,314
2023,Jun,22525,Gadget B,East,284
2023,Jul,18118,Gadget C,East,286
2023,Aug,25979,Gadget B,East,348
2023,Sep,13268,Gadget A,West,308
2023,Oct,22344,Gadget A,East,339
2023,Nov,18605,Gadget B,South,342
2023,Dec,19234,Gadget D,West,243
2024,Jan,16322,Gadget D,South,307
2024,Feb,22761,Gadget A,East,307
2024,Mar,22502,Gadget B,South,322
2024,Apr,17352,Gadget B,North,280
2024,May,15216,Gadget C,South,276
2024,Jun,20049,Gadget D,North,322
2024,Jul,22661,Gadget A,South,278
2024,Aug,19681,Gadget C,South,227
2024,Sep,14709,Gadget B,West,319
2024,Oct,16378,Gadget B,South,364
2024,Nov,18574,Gadget B,East,253
2024,Dec,19178,Gadget A,North,283
